Method Name,Verb,URL,Mandatory params
/issues/{id},PUT,/issues/{id},"['id', 'X-IDMS-Authorization']"
/issues/open,GET,/issues/open,['X-IDMS-Authorization']
/orders,GET,/orders,['X-IDMS-Authorization']
/orders,POST,/orders,['X-IDMS-Authorization']
/orders/{order-id},GET,/orders/{order-id},"['order-id', 'X-IDMS-Authorization']"
/orders/{order-id},PATCH,/orders/{order-id},"['order-id', 'X-IDMS-Authorization']"
/orders/{order-id}/photos,POST,/orders/{order-id}/photos,"['order-id', 'step', 'X-IDMS-Authorization']"
/orders/{order-id}/upload-photo,POST,/orders/{order-id}/upload-photo,"['order-id', 'step', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-number}/users,POST,/orders/{order-id}/sections/{section-number}/users,"['order-id', 'section-number', 'userid', 'userrole', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/complete,POST,/orders/{order-id}/sections/{section-serial-number}/complete,"['order-id', 'section-serial-number', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/label,GET,/orders/{order-id}/sections/{section-serial-number}/label,"['order-id', 'section-serial-number', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/issues,GET,/orders/{order-id}/sections/{section-serial-number}/issues,"['order-id', 'section-serial-number', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/issues,POST,/orders/{order-id}/sections/{section-serial-number}/issues,"['order-id', 'section-serial-number', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/issues/{id},PUT,/orders/{order-id}/sections/{section-serial-number}/issues/{id},"['order-id', 'section-serial-number', 'id', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/steps/{steps-to-reset}/reset,POST,/orders/{order-id}/sections/{section-serial-number}/steps/{steps-to-reset}/reset,"['order-id', 'section-serial-number', 'steps-to-reset', 'X-IDMS-Authorization']"
/orders/{order-id}/sections/{section-serial-number}/users/{user-id}/reset,POST,/orders/{order-id}/sections/{section-serial-number}/users/{user-id}/reset,"['order-id', 'user-id', 'section-serial-number', 'X-IDMS-Authorization']"
/orders/chapterimages,GET,/orders/chapterimages,['X-IDMS-Authorization']
/step-submissions,POST,/step-submissions,['X-IDMS-Authorization']
/users,GET,/users,['X-IDMS-Authorization']
/users,POST,/users,['X-IDMS-Authorization']
/users/{user-id},GET,/users/{user-id},"['user-id', 'X-IDMS-Authorization']"
/users/{user-id},PUT,/users/{user-id},"['user-id', 'X-IDMS-Authorization']"
/users/{user-id},DELETE,/users/{user-id},"['user-id', 'X-IDMS-Authorization']"
/users/{user-id}/accept-terms-of-service,PUT,/users/{user-id}/accept-terms-of-service,"['user-id', 'X-IDMS-Authorization']"
/users/profiles,GET,/users/profiles,['X-IDMS-Authorization']
/users/login,POST,/users/login,[]
/users/personas,GET,/users/personas,['X-IDMS-Authorization']
